Script_IsPlayerSpell 0xDB2120
Script_FindSpellBookSlotBySpellID 0xDB2180
Script_GetNumPrimaryProfessions 0xDB2230
Script_GetProfessionInfo 0xDACFF0
Script_GetCallPetSpellInfo 0xDAD320
Script_GetSpellBaseCooldown 0xDAFBC0
Script_GetSpellLossOfControlCooldown 0xDAFB00
Script_FindSpellOverrideByID 0xDAD370
Script_FindBaseSpellByID 0xDAD400
Script_GetNumGuildMembers 0xDD3E80
Script_GetGuildRosterMOTD 0xDD3EE0
Script_GetGuildRosterInfo 0xDD3F30
Script_GuildRosterSendSoR 0xDD4430
Script_GetGuildRosterLastOnline 0xDD45C0
Script_GuildRosterSetPublicNote 0xDD4750
Script_GuildRosterSetOfficerNote 0xDD48A0
Script_SetGuildRosterSelection 0xDD49F0
Script_GetGuildRosterSelection 0xDD4A80
Script_CanGuildPromote 0xDD4AF0
Script_CanGuildDemote 0xDD4BC0
Script_CanGuildInvite 0xDD4C90
Script_CanGuildRemove 0xDD4D60
Script_CanEditMOTD 0xDD4E30
Script_CanEditPublicNote 0xDD4F00
Script_CanEditOfficerNote 0xDD4FD0
Script_CanViewOfficerNote 0xDD50A0
Script_CanEditGuildInfo 0xDD5170
Script_IsInAuthenticatedRank 0xDD5240
Script_GetNumMembersInRank 0xDD5310
Script_SortGuildRoster 0xDD5370
Script_SetGuildRosterShowOffline 0xDD5550
Script_GetGuildRosterShowOffline 0xDD5590
Script_GuildControlGetNumRanks 0xDD55B0
Script_GuildControlGetRankName 0xDD55E0
Script_GuildControlSetRank 0xDD5710
Script_GuildControlSetRankFlag 0xDD5860
Script_GuildControlSaveRank 0xDD5BE0
Script_GuildControlAddRank 0xDD60D0
Script_GuildControlDelRank 0xDD6180
Script_GuildControlShiftRankUp 0xDD6260
Script_GuildControlShiftRankDown 0xDD6310
Script_GuildControlGetAllowedShifts 0xDD63C0
Script_GetPromotionRank 0xDD64B0
Script_GetDemotionRank 0xDD6600
Script_IsGuildRankAssignmentAllowed 0xDD6750
Script_SetGuildMemberRank 0xDD6840
Script_GuildRoster 0xDD6920
Script_GetGuildInfoText 0xDD6930
Script_SetGuildInfoText 0xDD6980
Script_GetGuildFactionGroup 0xDD6AA0
Script_ReplaceGuildMaster 0xDD3720
Script_CanReplaceGuildMaster 0xDD3860
Script_GuildMasterAbsent 0xDD3890
Script_GetGuildRenameRequired 0xDD3760
Script_SubmitRequiredGuildRename 0xDD3780
Script_GuildInfo 0xDD3980
Script_IsGuildMember 0xDD3AE0
Script_GetGMStatus 0xDE09E0
Script_GMSurveyQuestion 0xDE0A00
Script_GMSurveyNumAnswers 0xDE0C90
Script_GMSurveyAnswer 0xDE0B30
Script_GMSurveyAnswerSubmit 0xDE0D80
Script_GMSurveyCommentSubmit 0xDE0EC0
Script_GMSurveySubmit 0xDE0F50
Script_GMReportLag 0xDE0900
Script_RegisterStaticConstants 0xDE0870
Script_GMSubmitSuggestion 0xDE0F60
Script_GMSubmitBug 0xDE10E0
Script_GMQuickTicketSystemEnabled 0xDE1260
Script_GMEuropaTicketsEnabled 0xDE1280
Script_GMEuropaBugsEnabled 0xDE12C0
Script_GMEuropaComplaintsEnabled 0xDE1300
Script_GMEuropaSuggestionsEnabled 0xDE1340
Script_GMItemRestorationButtonEnabled 0xDE1380
Script_GMQuickTicketSystemThrottled 0xDE13A0
Script_GetWebTicket 0xDE0940
Script_AcknowledgeSurvey 0xDE0960
Script_GetGossipText 0xDEBE80
Script_GetNumGossipOptions 0xDEBEA0
Script_GetNumGossipAvailableQuests 0xDEBED0
Script_GetNumGossipActiveQuests 0xDEBF20
Script_GetGossipOptions 0xDEBF70
Script_GetGossipAvailableQuests 0xDEC000
Script_GetGossipActiveQuests 0xDEC180
Script_SelectGossipOption 0xDEC310
Script_SelectGossipAvailableQuest 0xDEC3A0
Script_SelectGossipActiveQuest 0xDEC480
Script_CloseGossip 0xDEC550
